Accident No,Year,Month of the Year,Severity level,Speed zones,Injury level,Map,Long,Lat,Road Type,Road geometry
T20180006070,2018,March,Serious injury accident                   ,60,Serious injury                       ,451  K 11,144.35199,-38.17655,ROAD           ,Cross intersection                     
T20180006070,2018,March,Serious injury accident                   ,60,Serious injury                       ,451  K 11,144.35199,-38.17655,ROAD           ,Cross intersection                     
T20180002166,2018,February,Serious injury accident                   ,60,Serious injury                       ,74   B 4 ,145.2946,-37.8886,DRIVE          ,Cross intersection                     
T20180002166,2018,February,Serious injury accident                   ,60,Serious injury                       ,74   B 4 ,145.2946,-37.8886,DRIVE          ,Cross intersection                     
T20140023259,2014,November,Fatal accident                       ,100,Serious injury                       ,684  D 9 ,148.46867,-37.70662,HIGHWAY        ,Cross intersection                     
T20140023259,2014,November,Fatal accident                       ,100,Serious injury                       ,684  D 9 ,148.46867,-37.70662,HIGHWAY        ,Cross intersection                     
T20140020883,2014,October,Fatal accident                       ,100,Fatality                          ,90   C 6 ,142.63495,-38.30359,LANE           ,Cross intersection                     
T20140020883,2014,October,Fatal accident                       ,100,Fatality                          ,90   C 6 ,142.63495,-38.30359,LANE           ,Cross intersection                     
T20140023451,2014,November,Fatal accident                       ,80,Serious injury                       ,90   C 12,145.20793,-38.00316,ROAD           ,Cross intersection                     
T20140023451,2014,November,Fatal accident                       ,80,Serious injury                       ,90   C 12,145.20793,-38.00316,ROAD           ,Cross intersection                     
T20160010620,2016,May,Serious injury accident                   ,60,Serious injury                       ,90   F 7 ,145.22065,-37.9856,STREET         ,Cross intersection                     
T20160010620,2016,May,Serious injury accident                   ,60,Serious injury                       ,90   F 7 ,145.22065,-37.9856,STREET         ,Cross intersection                     
T20160018859,2016,August,Serious injury accident                   ,60,Serious injury                       ,90   F 4 ,145.22284,-37.97437,ROAD           ,Cross intersection                     
T20160018859,2016,August,Serious injury accident                   ,60,Serious injury                       ,90   F 4 ,145.22284,-37.97437,ROAD           ,Cross intersection                     
T20160004454,2016,February,Serious injury accident                   ,80,Serious injury                       ,432  A 12,144.35667,-38.09147,HIGHWAY        ,Cross intersection                     
T20160004454,2016,February,Serious injury accident                   ,80,Serious injury                       ,432  A 12,144.35667,-38.09147,HIGHWAY        ,Cross intersection                     
T20160004454,2016,February,Serious injury accident                   ,80,Serious injury                       ,432  A 12,144.35667,-38.09147,HIGHWAY        ,Cross intersection                     
T20160004454,2016,February,Serious injury accident                   ,80,Serious injury                       ,432  A 12,144.35667,-38.09147,HIGHWAY        ,Cross intersection                     
T20160005611,2016,March,Serious injury accident                   ,60,Serious injury                       ,432  A 12,144.35667,-38.09147,HIGHWAY        ,Cross intersection                     
T20160005611,2016,March,Serious injury accident                   ,60,Serious injury                       ,432  A 12,144.35667,-38.09147,HIGHWAY        ,Cross intersection                     
T20160015285,2016,July,Serious injury accident                   ,80,Serious injury                       ,88   J 8 ,145.1447,-37.99085,ROAD           ,Cross intersection                     
T20160015285,2016,July,Serious injury accident                   ,80,Serious injury                       ,88   J 8 ,145.1447,-37.99085,ROAD           ,Cross intersection                     
T20160002560,2016,February,Serious injury accident                   ,100,Serious injury                       ,443  C 9 ,144.17455,-38.028240000000004,HIGHWAY        ,Cross intersection                     
T20160002560,2016,February,Serious injury accident                   ,100,Serious injury                       ,443  C 9 ,144.17455,-38.028240000000004,HIGHWAY        ,Cross intersection                     
T20160000537,2016,January,Serious injury accident                   ,60,Serious injury                       ,10   A 10,145.06656,-37.68842,ROAD           ,Cross intersection                     
T20160000537,2016,January,Serious injury accident                   ,60,Serious injury                       ,10   A 10,145.06656,-37.68842,ROAD           ,Cross intersection                     
T20140024783,2014,November,Serious injury accident                   ,50,Serious injury                       ,566  A 9 ,143.84025,-37.56642,STREET S       ,Cross intersection                     
T20140024783,2014,November,Serious injury accident                   ,50,Serious injury                       ,566  A 9 ,143.84025,-37.56642,STREET S       ,Cross intersection                     
T20150005221,2015,March,Fatal accident                       ,70,Fatality                          ,2T   D 12,144.91617,-37.8077,ROAD           ,Cross intersection                     
T20150005221,2015,March,Fatal accident                       ,70,Fatality                          ,2T   D 12,144.91617,-37.8077,ROAD           ,Cross intersection                     
T20140004998,2014,March,Fatal accident                       ,100,Fatality                          ,44   E 9 ,144.23641999999998,-36.955729999999996,FREEWAY        ,Cross intersection                     
T20140004998,2014,March,Fatal accident                       ,100,Fatality                          ,44   E 9 ,144.23641999999998,-36.955729999999996,FREEWAY        ,Cross intersection                     
T20140011273,2014,May,Fatal accident                       ,80,Fatality                          ,360  G 11,144.7375,-37.824040000000004,ROAD           ,Cross intersection                     
T20140011273,2014,May,Fatal accident                       ,80,Fatality                          ,360  G 11,144.7375,-37.824040000000004,ROAD           ,Cross intersection                     
T20140001744,2014,January,Fatal accident                       ,100,Serious injury                       ,92   C 7 ,143.6477,-38.3161,HIGHWAY WEST   ,Cross intersection                     
T20140001744,2014,January,Fatal accident                       ,100,Serious injury                       ,92   C 7 ,143.6477,-38.3161,HIGHWAY WEST   ,Cross intersection                     
T20140006635,2014,March,Fatal accident                       ,80,Serious injury                       ,64   B 12,145.24783,-37.8732,HIGHWAY        ,Cross intersection                     
T20140006635,2014,March,Fatal accident                       ,80,Serious injury                       ,64   B 12,145.24783,-37.8732,HIGHWAY        ,Cross intersection                     
T20140009095,2014,May,Fatal accident                       ,70,Serious injury                       ,79   B 11,145.11348,-37.95765,ROAD           ,Cross intersection                     
T20140009095,2014,May,Fatal accident                       ,70,Serious injury                       ,79   B 11,145.11348,-37.95765,ROAD           ,Cross intersection                     
T20150000042,2015,January,Serious injury accident                   ,70,Serious injury                       ,452  J 10,144.39144,-38.170629999999996,HIGHWAY        ,Cross intersection                     
T20150000042,2015,January,Serious injury accident                   ,70,Serious injury                       ,452  J 10,144.39144,-38.170629999999996,HIGHWAY        ,Cross intersection                     
T20150000042,2015,January,Serious injury accident                   ,70,Serious injury                       ,452  J 10,144.39144,-38.170629999999996,HIGHWAY        ,Cross intersection                     
T20150000042,2015,January,Serious injury accident                   ,70,Serious injury                       ,452  J 10,144.39144,-38.170629999999996,HIGHWAY        ,Cross intersection                     
T20150005857,2015,March,Serious injury accident                   ,60,Serious injury                       ,84   F 7 ,147.83074,-37.82014,HIGHWAY        ,Cross intersection                     
T20150005857,2015,March,Serious injury accident                   ,60,Serious injury                       ,84   F 7 ,147.83074,-37.82014,HIGHWAY        ,Cross intersection                     
T20150005857,2015,March,Serious injury accident                   ,60,Serious injury                       ,84   F 7 ,147.83074,-37.82014,HIGHWAY        ,Cross intersection                     
T20150005857,2015,March,Serious injury accident                   ,60,Serious injury                       ,84   F 7 ,147.83074,-37.82014,HIGHWAY        ,Cross intersection                     
T20150016185,2015,August,Serious injury accident                   ,60,Serious injury                       ,62   D 9 ,145.16923,-37.86202,ROAD           ,Cross intersection                     
T20150016185,2015,August,Serious injury accident                   ,60,Serious injury                       ,62   D 9 ,145.16923,-37.86202,ROAD           ,Cross intersection                     
T20150016185,2015,August,Serious injury accident                   ,60,Serious injury                       ,62   D 9 ,145.16923,-37.86202,ROAD           ,Cross intersection                     
T20150016185,2015,August,Serious injury accident                   ,60,Serious injury                       ,62   D 9 ,145.16923,-37.86202,ROAD           ,Cross intersection                     
T20150004597,2015,March,Serious injury accident                   ,70,Serious injury                       ,465  J 1 ,144.34774,-38.18192,ROAD           ,Cross intersection                     
T20150004597,2015,March,Serious injury accident                   ,70,Serious injury                       ,465  J 1 ,144.34774,-38.18192,ROAD           ,Cross intersection                     
T20150008776,2015,March,Serious injury accident                   ,70,Serious injury                       ,514  G 4 ,142.46406000000002,-38.367059999999995,PARADE         ,Cross intersection                     
T20150008776,2015,March,Serious injury accident                   ,70,Serious injury                       ,514  G 4 ,142.46406000000002,-38.367059999999995,PARADE         ,Cross intersection                     
T20150008776,2015,March,Serious injury accident                   ,70,Serious injury                       ,514  G 4 ,142.46406000000002,-38.367059999999995,PARADE         ,Cross intersection                     
T20150008776,2015,March,Serious injury accident                   ,70,Serious injury                       ,514  G 4 ,142.46406000000002,-38.367059999999995,PARADE         ,Cross intersection                     
T20160018131,2016,August,Fatal accident                       ,100,Fatality                          ,41   A 5 ,142.52286,-36.74695,ROAD           ,Cross intersection                     
T20160018131,2016,August,Fatal accident                       ,100,Fatality                          ,41   A 5 ,142.52286,-36.74695,ROAD           ,Cross intersection                     
T20160018131,2016,August,Fatal accident                       ,100,Fatality                          ,41   A 5 ,142.52286,-36.74695,ROAD           ,Cross intersection                     
T20160018131,2016,August,Fatal accident                       ,100,Fatality                          ,41   A 5 ,142.52286,-36.74695,ROAD           ,Cross intersection                     
T20140021536,2014,October,Serious injury accident                   ,80,Serious injury                       ,432  F 6 ,144.37684,-38.06878,HIGHWAY        ,Cross intersection                     
T20140021536,2014,October,Serious injury accident                   ,80,Serious injury                       ,432  F 6 ,144.37684,-38.06878,HIGHWAY        ,Cross intersection                     
T20140021536,2014,October,Serious injury accident                   ,80,Serious injury                       ,432  F 6 ,144.37684,-38.06878,HIGHWAY        ,Cross intersection                     
T20140021536,2014,October,Serious injury accident                   ,80,Serious injury                       ,432  F 6 ,144.37684,-38.06878,HIGHWAY        ,Cross intersection                     
T20140026444,2014,December,Serious injury accident                   ,70,Serious injury                       ,102  F 3 ,145.13573,-38.146679999999996,ROAD           ,Cross intersection                     
T20140026444,2014,December,Serious injury accident                   ,70,Serious injury                       ,102  F 3 ,145.13573,-38.146679999999996,ROAD           ,Cross intersection                     
T20170019159,2017,October,Serious injury accident                   ,70,Serious injury                       ,78   D 6 ,145.07965,-37.9388,BYPASS         ,Cross intersection                     
T20170019159,2017,October,Serious injury accident                   ,70,Serious injury                       ,78   D 6 ,145.07965,-37.9388,BYPASS         ,Cross intersection                     
T20170019980,2017,October,Serious injury accident                   ,70,Serious injury                       ,52   B 8 ,145.33693,-37.81205,ROAD           ,Cross intersection                     
T20170019980,2017,October,Serious injury accident                   ,70,Serious injury                       ,52   B 8 ,145.33693,-37.81205,ROAD           ,Cross intersection                     
T20170003097,2017,February,Serious injury accident                   ,60,Serious injury                       ,566  C 4 ,143.84996999999998,-37.54238,ROAD           ,Cross intersection                     
T20170003097,2017,February,Serious injury accident                   ,60,Serious injury                       ,566  C 4 ,143.84996999999998,-37.54238,ROAD           ,Cross intersection                     
T20170012355,2017,June,Serious injury accident                   ,60,Serious injury                       ,515  L 7 ,142.48824,-38.38158,PARADE         ,Cross intersection                     
T20170012355,2017,June,Serious injury accident                   ,60,Serious injury                       ,515  L 7 ,142.48824,-38.38158,PARADE         ,Cross intersection                     
T20190009358,2019,May,Serious injury accident                   ,80,Serious injury                       ,131  B 3 ,145.33845,-38.05993,ROAD           ,Cross intersection                     
T20190009358,2019,May,Serious injury accident                   ,80,Serious injury                       ,131  B 3 ,145.33845,-38.05993,ROAD           ,Cross intersection                     
T20190009358,2019,May,Serious injury accident                   ,80,Serious injury                       ,131  B 3 ,145.33845,-38.05993,ROAD           ,Cross intersection                     
T20190009358,2019,May,Serious injury accident                   ,80,Serious injury                       ,131  B 3 ,145.33845,-38.05993,ROAD           ,Cross intersection                     
T20180000534,2018,January,Serious injury accident                   ,100,Serious injury                       ,128  K 8 ,145.23945,-38.077659999999995,ROAD           ,Cross intersection                     
T20180000534,2018,January,Serious injury accident                   ,100,Serious injury                       ,128  K 8 ,145.23945,-38.077659999999995,ROAD           ,Cross intersection                     
T20180000534,2018,January,Serious injury accident                   ,100,Serious injury                       ,128  K 8 ,145.23945,-38.077659999999995,ROAD           ,Cross intersection                     
T20180000534,2018,January,Serious injury accident                   ,100,Serious injury                       ,128  K 8 ,145.23945,-38.077659999999995,ROAD           ,Cross intersection                     
T20180000534,2018,January,Serious injury accident                   ,100,Serious injury                       ,128  K 8 ,145.23945,-38.077659999999995,ROAD           ,Cross intersection                     
T20180000534,2018,January,Serious injury accident                   ,100,Serious injury                       ,128  K 8 ,145.23945,-38.077659999999995,ROAD           ,Cross intersection                     
T20180013341,2018,July,Serious injury accident                   ,60,Serious injury                       ,42   B 10,144.89586,-37.8218,STREET         ,Cross intersection                     
T20180013341,2018,July,Serious injury accident                   ,60,Serious injury                       ,42   B 10,144.89586,-37.8218,STREET         ,Cross intersection                     
T20180017572,2018,September,Serious injury accident                   ,60,Serious injury                       ,450  K 2 ,144.30766,-38.14248,HIGHWAY        ,Cross intersection                     
T20180017572,2018,September,Serious injury accident                   ,60,Serious injury                       ,450  K 2 ,144.30766,-38.14248,HIGHWAY        ,Cross intersection                     
T20160019333,2016,September,Serious injury accident                   ,60,Serious injury                       ,90   C 8 ,145.20786999999999,-37.99119,ROAD           ,Cross intersection                     
T20160019333,2016,September,Serious injury accident                   ,60,Serious injury                       ,90   C 8 ,145.20786999999999,-37.99119,ROAD           ,Cross intersection                     
T20160011927,2016,May,Serious injury accident                   ,50,Serious injury                       ,672  F 12,145.35578,-36.395309999999995,STREET         ,Cross intersection                     
T20160011927,2016,May,Serious injury accident                   ,50,Serious injury                       ,672  F 12,145.35578,-36.395309999999995,STREET         ,Cross intersection                     
T20160008136,2016,March,Serious injury accident                   ,Unknown,Serious injury                       ,80   A 4 ,145.15592,-37.93246,ROAD           ,Cross intersection                     
T20160008136,2016,March,Serious injury accident                   ,Unknown,Serious injury                       ,80   A 4 ,145.15592,-37.93246,ROAD           ,Cross intersection                     
T20160008136,2016,March,Serious injury accident                   ,Unknown,Serious injury                       ,80   A 4 ,145.15592,-37.93246,ROAD           ,Cross intersection                     
T20160008136,2016,March,Serious injury accident                   ,Unknown,Serious injury                       ,80   A 4 ,145.15592,-37.93246,ROAD           ,Cross intersection                     
T20160018529,2016,August,Serious injury accident                   ,60,Serious injury                       ,515  L 7 ,142.48984,-38.37936,STREET         ,Cross intersection                     
T20160018529,2016,August,Serious injury accident                   ,60,Serious injury                       ,515  L 7 ,142.48984,-38.37936,STREET         ,Cross intersection                     
T20160010559,2016,May,Serious injury accident                   ,60,Serious injury                       ,515  M 8 ,142.4949,-38.38498,PARADE         ,Cross intersection                     
T20160010559,2016,May,Serious injury accident                   ,60,Serious injury                       ,515  M 8 ,142.4949,-38.38498,PARADE         ,Cross intersection                     
T20140025461,2014,December,Serious injury accident                   ,100,Serious injury                       ,32   H 7 ,145.39514,-36.32338,ROAD           ,Cross intersection                     
T20140025461,2014,December,Serious injury accident                   ,100,Serious injury                       ,32   H 7 ,145.39514,-36.32338,ROAD           ,Cross intersection                     
T20140025461,2014,December,Serious injury accident                   ,100,Serious injury                       ,32   H 7 ,145.39514,-36.32338,ROAD           ,Cross intersection                     
T20140025461,2014,December,Serious injury accident                   ,100,Serious injury                       ,32   H 7 ,145.39514,-36.32338,ROAD           ,Cross intersection                     
T20180014993,2018,August,Serious injury accident                   ,40,Serious injury                       ,202  A 9 ,144.66702,-37.86088,ROAD           ,Cross intersection                     
T20180014993,2018,August,Serious injury accident                   ,40,Serious injury                       ,202  A 9 ,144.66702,-37.86088,ROAD           ,Cross intersection                     
T20180002394,2018,February,Serious injury accident                   ,60,Serious injury                       ,32   B 5 ,145.07155,-37.75997,STREET         ,Cross intersection                     
T20180002394,2018,February,Serious injury accident                   ,60,Serious injury                       ,32   B 5 ,145.07155,-37.75997,STREET         ,Cross intersection                     
T20180002394,2018,February,Serious injury accident                   ,60,Serious injury                       ,32   B 5 ,145.07155,-37.75997,STREET         ,Cross intersection                     
T20180002394,2018,February,Serious injury accident                   ,60,Serious injury                       ,32   B 5 ,145.07155,-37.75997,STREET         ,Cross intersection                     
T20190003400,2019,February,Serious injury accident                   ,60,Serious injury                       ,452  J 10,144.39146000000002,-38.17048,ROAD           ,Cross intersection                     
T20190003400,2019,February,Serious injury accident                   ,60,Serious injury                       ,452  J 10,144.39146000000002,-38.17048,ROAD           ,Cross intersection                     
T20160003341,2016,February,Serious injury accident                   ,100,Serious injury                       ,92   E 7 ,143.80993999999998,-38.34418,ROAD           ,Cross intersection                     
T20160003341,2016,February,Serious injury accident                   ,100,Serious injury                       ,92   E 7 ,143.80993999999998,-38.34418,ROAD           ,Cross intersection                     
T20180016908,2018,September,Serious injury accident                   ,50,Serious injury                       ,27   D 10,144.86047,-37.7785,STREET         ,Cross intersection                     
T20180016908,2018,September,Serious injury accident                   ,50,Serious injury                       ,27   D 10,144.86047,-37.7785,STREET         ,Cross intersection                     
T20180016908,2018,September,Serious injury accident                   ,50,Serious injury                       ,27   D 10,144.86047,-37.7785,STREET         ,Cross intersection                     
T20180016908,2018,September,Serious injury accident                   ,50,Serious injury                       ,27   D 10,144.86047,-37.7785,STREET         ,Cross intersection                     
T20180016908,2018,September,Serious injury accident                   ,50,Serious injury                       ,27   D 10,144.86047,-37.7785,STREET         ,Cross intersection                     
T20180016908,2018,September,Serious injury accident                   ,50,Serious injury                       ,27   D 10,144.86047,-37.7785,STREET         ,Cross intersection                     
T20180016908,2018,September,Serious injury accident                   ,50,Serious injury                       ,27   D 10,144.86047,-37.7785,STREET         ,Cross intersection                     
T20180016908,2018,September,Serious injury accident                   ,50,Serious injury                       ,27   D 10,144.86047,-37.7785,STREET         ,Cross intersection                     
T20160001783,2016,January,Serious injury accident                   ,Unknown,Serious injury                       ,266  J 10,145.36796,-37.64678,STREET         ,Cross intersection                     
T20160001783,2016,January,Serious injury accident                   ,Unknown,Serious injury                       ,266  J 10,145.36796,-37.64678,STREET         ,Cross intersection                     
T20160000216,2016,January,Serious injury accident                   ,80,Serious injury                       ,163  J 7 ,145.1456,-38.33882,ROAD           ,Cross intersection                     
T20160000216,2016,January,Serious injury accident                   ,80,Serious injury                       ,163  J 7 ,145.1456,-38.33882,ROAD           ,Cross intersection                     
T20160004537,2016,February,Serious injury accident                   ,70,Serious injury                       ,62   K 2 ,145.19539,-37.836,ROAD           ,Cross intersection                     
T20160004537,2016,February,Serious injury accident                   ,70,Serious injury                       ,62   K 2 ,145.19539,-37.836,ROAD           ,Cross intersection                     
T20160017839,2016,August,Serious injury accident                   ,80,Serious injury                       ,71   F 9 ,145.17973999999998,-37.90558,ROAD           ,Cross intersection                     
T20160017839,2016,August,Serious injury accident                   ,80,Serious injury                       ,71   F 9 ,145.17973999999998,-37.90558,ROAD           ,Cross intersection                     
T20160007349,2016,April,Serious injury accident                   ,60,Serious injury                       ,70   E 3 ,145.12736,-37.8847,ROAD           ,Cross intersection                     
T20160007349,2016,April,Serious injury accident                   ,60,Serious injury                       ,70   E 3 ,145.12736,-37.8847,ROAD           ,Cross intersection                     
T20160009993,2016,May,Serious injury accident                   ,80,Serious injury                       ,365  H 11,144.87667,-37.562,ROAD           ,Cross intersection                     
T20160009993,2016,May,Serious injury accident                   ,80,Serious injury                       ,365  H 11,144.87667,-37.562,ROAD           ,Cross intersection                     
T20160002684,2016,February,Serious injury accident                   ,60,Serious injury                       ,607  R 5 ,144.27408,-36.75525,STREET         ,Cross intersection                     
T20160002684,2016,February,Serious injury accident                   ,60,Serious injury                       ,607  R 5 ,144.27408,-36.75525,STREET         ,Cross intersection                     
T20160007199,2016,April,Serious injury accident                   ,80,Serious injury                       ,94   E 2 ,145.17162,-38.01147,ROAD           ,Cross intersection                     
T20160007199,2016,April,Serious injury accident                   ,80,Serious injury                       ,94   E 2 ,145.17162,-38.01147,ROAD           ,Cross intersection                     
T20150016373,2015,August,Serious injury accident                   ,60,Serious injury                       ,9    K 11,145.06038999999998,-37.69478,ROAD           ,Cross intersection                     
T20150016373,2015,August,Serious injury accident                   ,60,Serious injury                       ,9    K 11,145.06038999999998,-37.69478,ROAD           ,Cross intersection                     
T20150016373,2015,August,Serious injury accident                   ,60,Serious injury                       ,9    K 11,145.06038999999998,-37.69478,ROAD           ,Cross intersection                     
T20150016373,2015,August,Serious injury accident                   ,60,Serious injury                       ,9    K 11,145.06038999999998,-37.69478,ROAD           ,Cross intersection                     
T20150000176,2015,January,Serious injury accident                   ,80,Serious injury                       ,129  H 9 ,145.27643999999998,-38.082240000000006,HIGHWAY        ,Cross intersection                     
T20150000176,2015,January,Serious injury accident                   ,80,Serious injury                       ,129  H 9 ,145.27643999999998,-38.082240000000006,HIGHWAY        ,Cross intersection                     
T20150000176,2015,January,Serious injury accident                   ,80,Serious injury                       ,129  H 9 ,145.27643999999998,-38.082240000000006,HIGHWAY        ,Cross intersection                     
T20150000176,2015,January,Serious injury accident                   ,80,Serious injury                       ,129  H 9 ,145.27643999999998,-38.082240000000006,HIGHWAY        ,Cross intersection                     
T20150000176,2015,January,Serious injury accident                   ,80,Serious injury                       ,129  H 9 ,145.27643999999998,-38.082240000000006,HIGHWAY        ,Cross intersection                     
T20150000176,2015,January,Serious injury accident                   ,80,Serious injury                       ,129  H 9 ,145.27643999999998,-38.082240000000006,HIGHWAY        ,Cross intersection                     
T20150000176,2015,January,Serious injury accident                   ,80,Serious injury                       ,129  H 9 ,145.27643999999998,-38.082240000000006,HIGHWAY        ,Cross intersection                     
T20150000176,2015,January,Serious injury accident                   ,80,Serious injury                       ,129  H 9 ,145.27643999999998,-38.082240000000006,HIGHWAY        ,Cross intersection                     
T20150011902,2015,June,Serious injury accident                   ,100,Serious injury                       ,102  A 2 ,145.46147,-38.50013,ROAD           ,Cross intersection                     
T20150000020,2015,January,Fatal accident                       ,70,Fatality                          ,76   G 3 ,145.00281,-37.9291,ROAD           ,Cross intersection                     
T20150000020,2015,January,Fatal accident                       ,70,Fatality                          ,76   G 3 ,145.00281,-37.9291,ROAD           ,Cross intersection                     
T20150000020,2015,January,Fatal accident                       ,70,Fatality                          ,76   G 3 ,145.00281,-37.9291,ROAD           ,Cross intersection                     
T20150000020,2015,January,Fatal accident                       ,70,Fatality                          ,76   G 3 ,145.00281,-37.9291,ROAD           ,Cross intersection                     
T20150000020,2015,January,Fatal accident                       ,70,Fatality                          ,76   G 3 ,145.00281,-37.9291,ROAD           ,Cross intersection                     
T20150000020,2015,January,Fatal accident                       ,70,Fatality                          ,76   G 3 ,145.00281,-37.9291,ROAD           ,Cross intersection                     
T20150000020,2015,January,Fatal accident                       ,70,Fatality                          ,76   G 3 ,145.00281,-37.9291,ROAD           ,Cross intersection                     
T20150000020,2015,January,Fatal accident                       ,70,Fatality                          ,76   G 3 ,145.00281,-37.9291,ROAD           ,Cross intersection                     
T20150002535,2015,February,Fatal accident                       ,100,Fatality                          ,23   C 9 ,145.63794,-35.9991,ROAD           ,Cross intersection                     
T20150002535,2015,February,Fatal accident                       ,100,Fatality                          ,23   C 9 ,145.63794,-35.9991,ROAD           ,Cross intersection                     
T20150001292,2015,January,Fatal accident                       ,80,Fatality                          ,51   A 11,145.28759,-37.826,ROAD           ,Cross intersection                     
T20150001292,2015,January,Fatal accident                       ,80,Fatality                          ,51   A 11,145.28759,-37.826,ROAD           ,Cross intersection                     
T20150001292,2015,January,Fatal accident                       ,80,Fatality                          ,51   A 11,145.28759,-37.826,ROAD           ,Cross intersection                     
T20150001292,2015,January,Fatal accident                       ,80,Fatality                          ,51   A 11,145.28759,-37.826,ROAD           ,Cross intersection                     
T20150015521,2015,July,Fatal accident                       ,70,Fatality                          ,8    F 11,145.001,-37.69381,ROAD           ,Cross intersection                     
T20150015521,2015,July,Fatal accident                       ,70,Fatality                          ,8    F 11,145.001,-37.69381,ROAD           ,Cross intersection                     
T20140001267,2014,January,Serious injury accident                   ,80,Serious injury                       ,69   D 4 ,145.07817,-37.887240000000006,HIGHWAY EAST   ,Cross intersection                     
T20140001267,2014,January,Serious injury accident                   ,80,Serious injury                       ,69   D 4 ,145.07817,-37.887240000000006,HIGHWAY EAST   ,Cross intersection                     
T20140002792,2014,February,Serious injury accident                   ,60,Serious injury                       ,69   C 10,145.07417,-37.90814,HIGHWAY        ,Cross intersection                     
