Accident No,Year,Month of the Year,Date & Time,Severity level,Speed zones,Road Class,Rma All,Injury level,Lga Name,Lga Name All,Dca Code,Sub Dca Code,Vehicle dca code,Map,Long,Lat,Road Type,Road geometry
T20140012578,2014,June,18/06/14 22.10.00,Other injury accident                    ,80,Arterial other,Arterial Other,Other injury                        ,WYNDHAM,WYNDHAM,120,L01,Vehcile 1,198  K 1 ,144.74975,-37.92171,ROAD           ,Y intersection                      
T20140012578,2014,June,18/06/14 22.10.00,Other injury accident                    ,80,Arterial other,Arterial Other,Other injury                        ,WYNDHAM,WYNDHAM,120,L01,Vehcile 1,198  K 1 ,144.74975,-37.92171,ROAD           ,Y intersection                      
T20140000091,2014,January,02/01/14 10.30.00,Other injury accident                    ,50,Arterial highway,"Arterial Highway,Local Road",Not injured                         ,COLAC OTWAY,COLAC OTWAY,113,NRQ,Vehcile 1,519  O 5 ,143.67123999999998,-38.75949,ROAD           ,Y intersection                      
T20140000091,2014,January,02/01/14 10.30.00,Other injury accident                    ,50,Arterial highway,"Arterial Highway,Local Road",Not injured                         ,COLAC OTWAY,COLAC OTWAY,113,NRQ,Vehcile 1,519  O 5 ,143.67123999999998,-38.75949,ROAD           ,Y intersection                      
T20160018673,2016,August,26/08/16 11.27.00,Serious injury accident                   ,80,Freeway,"Freeway,Arterial Other",Not injured                         ,CASEY,CASEY,131,A03,Vehcile 1,90   J 3 ,145.23626000000002,-37.97252,RAMP OF        ,Y intersection                      
T20160018673,2016,August,26/08/16 11.27.00,Serious injury accident                   ,80,Freeway,"Freeway,Arterial Other",Not injured                         ,CASEY,CASEY,131,Z07,Vehcile 1,90   J 3 ,145.23626000000002,-37.97252,RAMP OF        ,Y intersection                      
T20160018673,2016,August,26/08/16 11.27.00,Serious injury accident                   ,80,Freeway,"Freeway,Arterial Other",Not injured                         ,CASEY,CASEY,131,A03,Vehcile 1,90   J 3 ,145.23626000000002,-37.97252,RAMP OF        ,Y intersection                      
T20160018673,2016,August,26/08/16 11.27.00,Serious injury accident                   ,80,Freeway,"Freeway,Arterial Other",Not injured                         ,CASEY,CASEY,131,Z07,Vehcile 1,90   J 3 ,145.23626000000002,-37.97252,RAMP OF        ,Y intersection                      
T20140023011,2014,September,10/09/14 09.10.00,Other injury accident                    ,60,Arterial highway,"Arterial Highway,Local Road",Other injury                        ,KINGSTON,KINGSTON,121,NRQ,Not involved in initial event,78   C 10,145.07648,-37.95472,ROAD           ,Y intersection                      
T20140023011,2014,September,10/09/14 09.10.00,Other injury accident                    ,60,Arterial highway,"Arterial Highway,Local Road",Other injury                        ,KINGSTON,KINGSTON,121,NRQ,Not involved in initial event,78   C 10,145.07648,-37.95472,ROAD           ,Y intersection                      
T20140023011,2014,September,10/09/14 09.10.00,Other injury accident                    ,60,Arterial highway,"Arterial Highway,Local Road",Not injured                         ,KINGSTON,KINGSTON,121,NRQ,Vehicle 2,78   C 10,145.07648,-37.95472,ROAD           ,Y intersection                      
T20140023011,2014,September,10/09/14 09.10.00,Other injury accident                    ,60,Arterial highway,"Arterial Highway,Local Road",Not injured                         ,KINGSTON,KINGSTON,121,NRQ,Vehicle 2,78   C 10,145.07648,-37.95472,ROAD           ,Y intersection                      
T20140007629,2014,April,07/04/14 11.30.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Other injury                        ,YARRA RANGES,YARRA RANGES,121,NRQ,Vehcile 1,51   F 1 ,145.31004,-37.789629999999995,ROAD           ,Y intersection                      
T20140007629,2014,April,07/04/14 11.30.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Other injury                        ,YARRA RANGES,YARRA RANGES,121,NRQ,Vehcile 1,51   F 1 ,145.31004,-37.789629999999995,ROAD           ,Y intersection                      
T20140024216,2014,November,22/11/14 08.15.00,Other injury accident                    ,80,Local roads,Local Road,Other injury                        ,GOLDEN PLAINS,GOLDEN PLAINS,113,NRQ,Vehicle 2,575  N 2 ,143.68916000000002,-37.64328,ROAD           ,Y intersection                      
T20140024216,2014,November,22/11/14 08.15.00,Other injury accident                    ,80,Local roads,Local Road,Other injury                        ,GOLDEN PLAINS,GOLDEN PLAINS,113,NRQ,Vehicle 2,575  N 2 ,143.68916000000002,-37.64328,ROAD           ,Y intersection                      
T20140010052,2014,May,12/05/14 07.05.00,Other injury accident                    ,70,Local roads,Local Road,Other injury                        ,YARRA RANGES,YARRA RANGES,181,Q06,Vehcile 1,274  D 12,145.34596000000002,-37.695209999999996,LANE           ,Y intersection                      
T20140010052,2014,May,12/05/14 07.05.00,Other injury accident                    ,70,Local roads,Local Road,Other injury                        ,YARRA RANGES,YARRA RANGES,181,V01,Vehcile 1,274  D 12,145.34596000000002,-37.695209999999996,LANE           ,Y intersection                      
T20140010052,2014,May,12/05/14 07.05.00,Other injury accident                    ,70,Local roads,Local Road,Other injury                        ,YARRA RANGES,YARRA RANGES,181,W01,Vehcile 1,274  D 12,145.34596000000002,-37.695209999999996,LANE           ,Y intersection                      
T20140010052,2014,May,12/05/14 07.05.00,Other injury accident                    ,70,Local roads,Local Road,Other injury                        ,YARRA RANGES,YARRA RANGES,181,Q06,Vehcile 1,274  D 12,145.34596000000002,-37.695209999999996,LANE           ,Y intersection                      
T20140010052,2014,May,12/05/14 07.05.00,Other injury accident                    ,70,Local roads,Local Road,Other injury                        ,YARRA RANGES,YARRA RANGES,181,V01,Vehcile 1,274  D 12,145.34596000000002,-37.695209999999996,LANE           ,Y intersection                      
T20140010052,2014,May,12/05/14 07.05.00,Other injury accident                    ,70,Local roads,Local Road,Other injury                        ,YARRA RANGES,YARRA RANGES,181,W01,Vehcile 1,274  D 12,145.34596000000002,-37.695209999999996,LANE           ,Y intersection                      
T20140010052,2014,May,12/05/14 07.05.00,Other injury accident                    ,70,Local roads,Local Road,Other injury                        ,YARRA RANGES,YARRA RANGES,181,Q06,Vehcile 1,274  D 12,145.34596000000002,-37.695209999999996,LANE           ,Y intersection                      
T20140010052,2014,May,12/05/14 07.05.00,Other injury accident                    ,70,Local roads,Local Road,Other injury                        ,YARRA RANGES,YARRA RANGES,181,V01,Vehcile 1,274  D 12,145.34596000000002,-37.695209999999996,LANE           ,Y intersection                      
T20140010052,2014,May,12/05/14 07.05.00,Other injury accident                    ,70,Local roads,Local Road,Other injury                        ,YARRA RANGES,YARRA RANGES,181,W01,Vehcile 1,274  D 12,145.34596000000002,-37.695209999999996,LANE           ,Y intersection                      
T20140010052,2014,May,12/05/14 07.05.00,Other injury accident                    ,70,Local roads,Local Road,Other injury                        ,YARRA RANGES,YARRA RANGES,181,Q06,Vehcile 1,274  D 12,145.34596000000002,-37.695209999999996,LANE           ,Y intersection                      
T20140010052,2014,May,12/05/14 07.05.00,Other injury accident                    ,70,Local roads,Local Road,Other injury                        ,YARRA RANGES,YARRA RANGES,181,V01,Vehcile 1,274  D 12,145.34596000000002,-37.695209999999996,LANE           ,Y intersection                      
T20140010052,2014,May,12/05/14 07.05.00,Other injury accident                    ,70,Local roads,Local Road,Other injury                        ,YARRA RANGES,YARRA RANGES,181,W01,Vehcile 1,274  D 12,145.34596000000002,-37.695209999999996,LANE           ,Y intersection                      
T20150004729,2015,March,05/03/15 08.40.00,Other injury accident                    ,80,Arterial other,Arterial Other,Other injury                        ,CASEY,CASEY,130,N01,Vehicle 2,91   B 4 ,145.24742,-37.97358,ROAD           ,Y intersection                      
T20150004729,2015,March,05/03/15 08.40.00,Other injury accident                    ,80,Arterial other,Arterial Other,Other injury                        ,CASEY,CASEY,130,N01,Vehicle 2,91   B 4 ,145.24742,-37.97358,ROAD           ,Y intersection                      
T20140021000,2014,October,11/10/14 10.40.00,Other injury accident                    ,60,Arterial other,Arterial Other,Not injured                         ,WHITTLESEA,WHITTLESEA,130,A03,Vehicle 2,182  B 7 ,145.02713,-37.63292,ROAD           ,Y intersection                      
T20140021000,2014,October,11/10/14 10.40.00,Other injury accident                    ,60,Arterial other,Arterial Other,Not injured                         ,WHITTLESEA,WHITTLESEA,130,N01,Vehicle 2,182  B 7 ,145.02713,-37.63292,ROAD           ,Y intersection                      
T20140021000,2014,October,11/10/14 10.40.00,Other injury accident                    ,60,Arterial other,Arterial Other,Not injured                         ,WHITTLESEA,WHITTLESEA,130,A03,Vehicle 2,182  B 7 ,145.02713,-37.63292,ROAD           ,Y intersection                      
T20140021000,2014,October,11/10/14 10.40.00,Other injury accident                    ,60,Arterial other,Arterial Other,Not injured                         ,WHITTLESEA,WHITTLESEA,130,N01,Vehicle 2,182  B 7 ,145.02713,-37.63292,ROAD           ,Y intersection                      
T20140013055,2014,June,25/06/14 08.35.00,Other injury accident                    ,50,Local roads,Local Road,Other injury                        ,SHEPPARTON,SHEPPARTON,113,NRQ,Vehcile 1,673  Q 9 ,145.41005,-36.38045,STREET         ,Y intersection                      
T20140013055,2014,June,25/06/14 08.35.00,Other injury accident                    ,50,Local roads,Local Road,Other injury                        ,SHEPPARTON,SHEPPARTON,113,NRQ,Vehcile 1,673  Q 9 ,145.41005,-36.38045,STREET         ,Y intersection                      
T20140013055,2014,June,25/06/14 08.35.00,Other injury accident                    ,50,Local roads,Local Road,Other injury                        ,SHEPPARTON,SHEPPARTON,113,NRQ,Vehicle 2,673  Q 9 ,145.41005,-36.38045,STREET         ,Y intersection                      
T20140013055,2014,June,25/06/14 08.35.00,Other injury accident                    ,50,Local roads,Local Road,Other injury                        ,SHEPPARTON,SHEPPARTON,113,NRQ,Vehicle 2,673  Q 9 ,145.41005,-36.38045,STREET         ,Y intersection                      
T20140023146,2014,November,08/11/14 16.40.00,Other injury accident                    ,70,Unknown,,Other injury                        ,BAYSIDE,BAYSIDE,121,I04,Vehicle 2,76   C 3 ,144.98852,-37.92742,ROAD           ,Y intersection                      
T20140023146,2014,November,08/11/14 16.40.00,Other injury accident                    ,70,Unknown,,Other injury                        ,BAYSIDE,BAYSIDE,121,I04,Vehicle 2,76   C 3 ,144.98852,-37.92742,ROAD           ,Y intersection                      
T20140000693,2014,January,11/01/14 16.30.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,YARRA,YARRA,101,A01,Vehcile 1,2C   C 1 ,144.98076,-37.78689,ROAD           ,Y intersection                      
T20140000693,2014,January,11/01/14 16.30.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,YARRA,YARRA,101,B01,Vehcile 1,2C   C 1 ,144.98076,-37.78689,ROAD           ,Y intersection                      
T20140000693,2014,January,11/01/14 16.30.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,YARRA,YARRA,101,D01,Vehcile 1,2C   C 1 ,144.98076,-37.78689,ROAD           ,Y intersection                      
T20140000693,2014,January,11/01/14 16.30.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,YARRA,YARRA,101,A01,Vehcile 1,2C   C 1 ,144.98076,-37.78689,ROAD           ,Y intersection                      
T20140000693,2014,January,11/01/14 16.30.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,YARRA,YARRA,101,B01,Vehcile 1,2C   C 1 ,144.98076,-37.78689,ROAD           ,Y intersection                      
T20140000693,2014,January,11/01/14 16.30.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,YARRA,YARRA,101,D01,Vehcile 1,2C   C 1 ,144.98076,-37.78689,ROAD           ,Y intersection                      
T20190010175,2019,May,30/05/19 07.00.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,MACEDON RANGES,MACEDON RANGES,120,L01,Vehcile 1,632  A 4 ,144.43845,-37.242470000000004,AVENUE         ,Y intersection                      
T20190010175,2019,May,30/05/19 07.00.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,MACEDON RANGES,MACEDON RANGES,120,L01,Vehcile 1,632  A 4 ,144.43845,-37.242470000000004,AVENUE         ,Y intersection                      
T20190002042,2019,February,02/02/19 18.04.00,Other injury accident                    ,50,Local roads,Local Road,Other injury                        ,BANYULE,BANYULE,114,NRQ,Vehicle 2,11   F 11,145.13476,-37.694379999999995,STREET         ,Y intersection                      
T20190002042,2019,February,02/02/19 18.04.00,Other injury accident                    ,50,Local roads,Local Road,Other injury                        ,BANYULE,BANYULE,114,NRQ,Vehicle 2,11   F 11,145.13476,-37.694379999999995,STREET         ,Y intersection                      
T20140008454,2014,April,22/04/14 14.30.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,MORELAND,MORELAND,130,A01,Vehcile 1,16   G 5 ,144.91736,-37.71365,ROAD           ,Y intersection                      
T20140008454,2014,April,22/04/14 14.30.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,MORELAND,MORELAND,130,N01,Vehcile 1,16   G 5 ,144.91736,-37.71365,ROAD           ,Y intersection                      
T20140008454,2014,April,22/04/14 14.30.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,MORELAND,MORELAND,130,A01,Vehcile 1,16   G 5 ,144.91736,-37.71365,ROAD           ,Y intersection                      
T20140008454,2014,April,22/04/14 14.30.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,MORELAND,MORELAND,130,N01,Vehcile 1,16   G 5 ,144.91736,-37.71365,ROAD           ,Y intersection                      
T20140021576,2014,October,12/10/14 06.20.00,Other injury accident                    ,50,Local roads,Local Road,Not injured                         ,BOROONDARA,BOROONDARA,120,L01,Vehicle 2,60   B 12,145.07213000000002,-37.8729,STREET         ,Y intersection                      
T20140021576,2014,October,12/10/14 06.20.00,Other injury accident                    ,50,Local roads,Local Road,Not injured                         ,BOROONDARA,BOROONDARA,120,L01,Vehicle 2,60   B 12,145.07213000000002,-37.8729,STREET         ,Y intersection                      
T20140026991,2014,December,21/12/14 13.30.00,Serious injury accident                   ,50,Local roads,Local Road,Not injured                         ,BENDIGO,BENDIGO,129,NRQ,Vehicle 2,613  L 4 ,144.23946,-36.80011,STREET         ,Y intersection                      
T20140026991,2014,December,21/12/14 13.30.00,Serious injury accident                   ,50,Local roads,Local Road,Not injured                         ,BENDIGO,BENDIGO,129,NRQ,Vehicle 2,613  L 4 ,144.23946,-36.80011,STREET         ,Y intersection                      
T20150002022,2014,October,30/10/14 16.10.00,Serious injury accident                   ,50,Unknown,,Not injured                         ,HOBSONS BAY,HOBSONS BAY,121,M01,Vehcile 1,56   B 5 ,144.89498,-37.8454,               ,Y intersection                      
T20150002022,2014,October,30/10/14 16.10.00,Serious injury accident                   ,50,Unknown,,Not injured                         ,HOBSONS BAY,HOBSONS BAY,121,M01,Vehcile 1,56   B 5 ,144.89498,-37.8454,               ,Y intersection                      
T20140005423,2014,March,16/03/14 11.10.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,YARRA,YARRA,116,NRQ,Vehcile 1,2C   C 1 ,144.98076,-37.78689,ROAD           ,Y intersection                      
T20140005423,2014,March,16/03/14 11.10.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,YARRA,YARRA,116,NRQ,Vehcile 1,2C   C 1 ,144.98076,-37.78689,ROAD           ,Y intersection                      
T20150013275,2015,June,22/06/15 14.00.00,Other injury accident                    ,60,Arterial highway,"Arterial Highway,Local Road",Not injured                         ,MORNINGTON PENINSULA,MORNINGTON PENINSULA,130,A01,Vehcile 1,145  E 2 ,145.04034,-38.23291,ROAD           ,Y intersection                      
T20150013275,2015,June,22/06/15 14.00.00,Other injury accident                    ,60,Arterial highway,"Arterial Highway,Local Road",Not injured                         ,MORNINGTON PENINSULA,MORNINGTON PENINSULA,130,N01,Vehcile 1,145  E 2 ,145.04034,-38.23291,ROAD           ,Y intersection                      
T20150013275,2015,June,22/06/15 14.00.00,Other injury accident                    ,60,Arterial highway,"Arterial Highway,Local Road",Not injured                         ,MORNINGTON PENINSULA,MORNINGTON PENINSULA,130,A01,Vehcile 1,145  E 2 ,145.04034,-38.23291,ROAD           ,Y intersection                      
T20150013275,2015,June,22/06/15 14.00.00,Other injury accident                    ,60,Arterial highway,"Arterial Highway,Local Road",Not injured                         ,MORNINGTON PENINSULA,MORNINGTON PENINSULA,130,N01,Vehcile 1,145  E 2 ,145.04034,-38.23291,ROAD           ,Y intersection                      
T20150004253,2015,January,01/01/15 15.30.00,Other injury accident                    ,Unknown,Arterial highway,Arterial Highway,Not injured                         ,MELBOURNE,MELBOURNE,130,A04,Vehcile 1,437  B 9 ,144.97615,-37.82309,AVENUE         ,Y intersection                      
T20150004253,2015,January,01/01/15 15.30.00,Other injury accident                    ,Unknown,Arterial highway,Arterial Highway,Not injured                         ,MELBOURNE,MELBOURNE,130,N01,Vehcile 1,437  B 9 ,144.97615,-37.82309,AVENUE         ,Y intersection                      
T20150004253,2015,January,01/01/15 15.30.00,Other injury accident                    ,Unknown,Arterial highway,Arterial Highway,Not injured                         ,MELBOURNE,MELBOURNE,130,A04,Vehcile 1,437  B 9 ,144.97615,-37.82309,AVENUE         ,Y intersection                      
T20150004253,2015,January,01/01/15 15.30.00,Other injury accident                    ,Unknown,Arterial highway,Arterial Highway,Not injured                         ,MELBOURNE,MELBOURNE,130,N01,Vehcile 1,437  B 9 ,144.97615,-37.82309,AVENUE         ,Y intersection                      
T20150001844,2015,January,15/01/15 18.02.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,GLEN EIRA,GLEN EIRA,130,A02,Not involved in initial event,58   G 11,145.00631,-37.87037,ROAD           ,Y intersection                      
T20150001844,2015,January,15/01/15 18.02.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,GLEN EIRA,GLEN EIRA,130,N01,Not involved in initial event,58   G 11,145.00631,-37.87037,ROAD           ,Y intersection                      
T20150001844,2015,January,15/01/15 18.02.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,GLEN EIRA,GLEN EIRA,130,A02,Not involved in initial event,58   G 11,145.00631,-37.87037,ROAD           ,Y intersection                      
T20150001844,2015,January,15/01/15 18.02.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,GLEN EIRA,GLEN EIRA,130,N01,Not involved in initial event,58   G 11,145.00631,-37.87037,ROAD           ,Y intersection                      
T20160019731,2016,August,23/08/16 19.00.00,Other injury accident                    ,60,Local roads,Local Road,Not injured                         ,NILLUMBIK,NILLUMBIK,113,NRQ,Vehicle 2,11   K 4 ,145.14969,-37.66941,ROAD           ,Y intersection                      
T20160019731,2016,August,23/08/16 19.00.00,Other injury accident                    ,60,Local roads,Local Road,Not injured                         ,NILLUMBIK,NILLUMBIK,113,NRQ,Vehicle 2,11   K 4 ,145.14969,-37.66941,ROAD           ,Y intersection                      
T20160005581,2016,March,11/03/16 10.15.00,Serious injury accident                   ,40,Unknown,,Not injured                         ,PORT PHILLIP,PORT PHILLIP,137,N01,Vehcile 1,437  B 11,144.97255,-37.86094,PARADE         ,Y intersection                      
T20160005581,2016,March,11/03/16 10.15.00,Serious injury accident                   ,40,Unknown,,Not injured                         ,PORT PHILLIP,PORT PHILLIP,137,N01,Vehcile 1,437  B 11,144.97255,-37.86094,PARADE         ,Y intersection                      
T20140023293,2014,November,10/11/14 18.40.00,Other injury accident                    ,60,Arterial highway,"Arterial Highway,Local Road",Other injury                        ,HORSHAM,HORSHAM,113,NRQ,Vehcile 1,544  G 7 ,142.20494,-36.72305,STREET         ,Y intersection                      
T20140023293,2014,November,10/11/14 18.40.00,Other injury accident                    ,60,Arterial highway,"Arterial Highway,Local Road",Other injury                        ,HORSHAM,HORSHAM,113,NRQ,Vehcile 1,544  G 7 ,142.20494,-36.72305,STREET         ,Y intersection                      
T20140011097,2014,May,29/05/14 09.10.00,Other injury accident                    ,50,Local roads,Local Road,Other injury                        ,MORNINGTON PENINSULA,MORNINGTON PENINSULA,181,Q01,Vehcile 1,193  C 9 ,145.1208,-38.390370000000004,ROAD           ,Y intersection                      
T20140011097,2014,May,29/05/14 09.10.00,Other injury accident                    ,50,Local roads,Local Road,Other injury                        ,MORNINGTON PENINSULA,MORNINGTON PENINSULA,181,V01,Vehcile 1,193  C 9 ,145.1208,-38.390370000000004,ROAD           ,Y intersection                      
T20140011097,2014,May,29/05/14 09.10.00,Other injury accident                    ,50,Local roads,Local Road,Other injury                        ,MORNINGTON PENINSULA,MORNINGTON PENINSULA,181,W01,Vehcile 1,193  C 9 ,145.1208,-38.390370000000004,ROAD           ,Y intersection                      
T20140011097,2014,May,29/05/14 09.10.00,Other injury accident                    ,50,Local roads,Local Road,Other injury                        ,MORNINGTON PENINSULA,MORNINGTON PENINSULA,181,Q01,Vehcile 1,193  C 9 ,145.1208,-38.390370000000004,ROAD           ,Y intersection                      
T20140011097,2014,May,29/05/14 09.10.00,Other injury accident                    ,50,Local roads,Local Road,Other injury                        ,MORNINGTON PENINSULA,MORNINGTON PENINSULA,181,V01,Vehcile 1,193  C 9 ,145.1208,-38.390370000000004,ROAD           ,Y intersection                      
T20140011097,2014,May,29/05/14 09.10.00,Other injury accident                    ,50,Local roads,Local Road,Other injury                        ,MORNINGTON PENINSULA,MORNINGTON PENINSULA,181,W01,Vehcile 1,193  C 9 ,145.1208,-38.390370000000004,ROAD           ,Y intersection                      
T20140024622,2014,November,26/11/14 07.25.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,MAROONDAH,MAROONDAH,130,A01,Not involved in initial event,49   H 5 ,145.2303,-37.80454,ROAD           ,Y intersection                      
T20140024622,2014,November,26/11/14 07.25.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,MAROONDAH,MAROONDAH,130,N01,Not involved in initial event,49   H 5 ,145.2303,-37.80454,ROAD           ,Y intersection                      
T20140024622,2014,November,26/11/14 07.25.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,MAROONDAH,MAROONDAH,130,A01,Not involved in initial event,49   H 5 ,145.2303,-37.80454,ROAD           ,Y intersection                      
T20140024622,2014,November,26/11/14 07.25.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,MAROONDAH,MAROONDAH,130,N01,Not involved in initial event,49   H 5 ,145.2303,-37.80454,ROAD           ,Y intersection                      
T20140021000,2014,October,11/10/14 10.40.00,Other injury accident                    ,60,Arterial other,Arterial Other,Not injured                         ,WHITTLESEA,WHITTLESEA,130,A03,Not known,182  B 7 ,145.02713,-37.63292,ROAD           ,Y intersection                      
T20140021000,2014,October,11/10/14 10.40.00,Other injury accident                    ,60,Arterial other,Arterial Other,Not injured                         ,WHITTLESEA,WHITTLESEA,130,N01,Not known,182  B 7 ,145.02713,-37.63292,ROAD           ,Y intersection                      
T20140021000,2014,October,11/10/14 10.40.00,Other injury accident                    ,60,Arterial other,Arterial Other,Not injured                         ,WHITTLESEA,WHITTLESEA,130,A03,Not known,182  B 7 ,145.02713,-37.63292,ROAD           ,Y intersection                      
T20140021000,2014,October,11/10/14 10.40.00,Other injury accident                    ,60,Arterial other,Arterial Other,Not injured                         ,WHITTLESEA,WHITTLESEA,130,N01,Not known,182  B 7 ,145.02713,-37.63292,ROAD           ,Y intersection                      
T20150002880,2015,February,10/02/15 09.08.00,Other injury accident                    ,70,Arterial other,"Arterial Other,Local Road",Not injured                         ,CASEY,CASEY,130,A01,Vehicle 2,111  D 8 ,145.34871,-38.03218,STREET         ,Y intersection                      
T20150002880,2015,February,10/02/15 09.08.00,Other injury accident                    ,70,Arterial other,"Arterial Other,Local Road",Not injured                         ,CASEY,CASEY,130,N01,Vehicle 2,111  D 8 ,145.34871,-38.03218,STREET         ,Y intersection                      
T20150002880,2015,February,10/02/15 09.08.00,Other injury accident                    ,70,Arterial other,"Arterial Other,Local Road",Not injured                         ,CASEY,CASEY,130,A01,Vehicle 2,111  D 8 ,145.34871,-38.03218,STREET         ,Y intersection                      
T20150002880,2015,February,10/02/15 09.08.00,Other injury accident                    ,70,Arterial other,"Arterial Other,Local Road",Not injured                         ,CASEY,CASEY,130,N01,Vehicle 2,111  D 8 ,145.34871,-38.03218,STREET         ,Y intersection                      
T20140026953,2014,December,28/12/14 18.53.00,Serious injury accident                   ,100,Arterial highway,"Arterial Highway,Local Road",Not injured                         ,BASS COAST,BASS COAST,121,M01,Vehcile 1,95   J 9 ,145.47481000000002,-38.4722,HIGHWAY        ,Y intersection                      
T20140026953,2014,December,28/12/14 18.53.00,Serious injury accident                   ,100,Arterial highway,"Arterial Highway,Local Road",Not injured                         ,BASS COAST,BASS COAST,121,M01,Vehcile 1,95   J 9 ,145.47481000000002,-38.4722,HIGHWAY        ,Y intersection                      
T20140026953,2014,December,28/12/14 18.53.00,Serious injury accident                   ,100,Arterial highway,"Arterial Highway,Local Road",Not injured                         ,BASS COAST,BASS COAST,121,M01,Vehicle 2,95   J 9 ,145.47481000000002,-38.4722,HIGHWAY        ,Y intersection                      
